index;Heure;Minute;Seconde;D_Lat;D_Lon;Quality;X;Y;perX;perY;pixX;pixY;Ah;V;A;S;D;Deg;RPM
13916;8;58;6;43,7722878333333;-0,0420388333333333;1;-3375,57055388929;4867256,33469201;0,682727425073812;0,232388557717933;640,398324719235;193,114891463602;0,7373;32,64;0,22;0;0;24,5;0
13926;8;58;7;43,7722373333333;-0,0419671666666667;1;-3369,81597245794;4867250,71934822;0,685265464015234;0,238068458741039;642,77900524629;197,834889213803;0,7373;32,63;0,21;0;0;24,5;0
13936;8;58;8;43,772187;-0,0418955;1;-3364,0613910266;4867245,12253691;0,687803502956656;0,243729614216425;645,159685773343;202,539309413849;0,7374;32,62;0,2;0;0;24,5;0
13946;8;58;9;43,7721365;-0,0418241666666667;1;-3358,33357509028;4867239,50719311;0,690329737065793;0,249409515240473;647,529293367714;207,259307164833;0,7374;32,61;0,2;0;0;24,5;0
13956;8;58;10;43,7720856666667;-0,0417533333333333;1;-3352,64590739651;4867233,85478434;0,692838263926501;0,25512690735996;649,882291563058;212,010460016127;0,7375;32,61;0,2;0;0;24,5;0
13966;8;58;11;43,7720348333333;-0,0416831666666667;1;-3347,0117706928;4867228,20237557;0,695323181122637;0,260844299478505;652,213143893033;216,761612866638;0,7376;32,61;0,21;0;0;24,5;0
13976;8;58;12;43,7719845;-0,0416126666666667;1;-3341,35086849406;4867222,60556426;0,697819903151059;0,266505454953891;654,555069155693;221,466033066684;0,7376;32,61;0,21;0;0;24,5;0
13986;8;58;13;43,7719345;-0,0415418333333333;1;-3335,66320080029;4867217,04581793;0,700328430011767;0,272129119333838;656,908067351038;226,13929816642;0,7377;32,61;0,22;0;0;24,5;0
13996;8;58;14;43,771884;-0,0414713333333333;1;-3330,00229860155;4867211,43047413;0,702825152040189;0,277809020357886;659,249992613697;230,859295917403;0,7377;32,61;0,21;0;0;24,5;0
14006;8;58;15;43,7718335;-0,0414011666666667;1;-3324,36816189783;4867205,81513034;0,705310069236326;0,283488921381934;661,580844943673;235,579293668387;0,7378;32,6;0,2;0;0;24,5;0
14016;8;58;16;43,7717831666667;-0,0413306666666667;1;-3318,70725969909;4867200,21831903;0,707806791264748;0,28915007685732;663,922770206334;240,283713868433;0,7378;32,61;0,21;0;0;24,5;0
14026;8;58;17;43,7717321666667;-0,0412611666666667;1;-3313,12665398544;4867194,54737777;0,710268098796313;0,294886214524527;666,231476670942;245,050444269882;0,7379;32,61;0,21;0;0;24,5;0
14036;8;58;18;43,7716816666667;-0,0411913333333333;1;-3307,51928277676;4867188,93203398;0,712741211160164;0,300566115547633;668,551256068234;249,770442020083;0,7379;32,61;0,21;0;0;24,5;0
14046;8;58;19;43,771631;-0,0411218333333333;1;-3301,9386770631;4867183,29815769;0,715202518691729;0,3062647621194;670,859962532842;254,506017321222;0,738;32,6;0,21;0;0;24,5;0
14056;8;58;20;43,7715803333333;-0,0410521666666667;1;-3296,34468860194;4867177,66428141;0,717669728639437;0,311963408690226;673,174205463792;259,241592621578;0,7381;32,59;0,21;0;0;24,5;0
14066;8;58;21;43,7715298333333;-0,040983;1;-3290,79084838331;4867172,04893761;0,720119231338716;0,317643309714274;675,471838995716;263,961590372561;0,7381;32,6;0,21;0;0;24,5;0
14076;8;58;22;43,7714791666667;-0,0409143333333333;1;-3285,27715640723;4867166,41506133;0,722551026789567;0,323341956286041;677,752863128614;268,6971656737;0,7382;32,6;0,21;0;0;24,5;0
14086;8;58;23;43,7714283333333;-0,0408453333333333;1;-3279,73669893612;4867160,76265256;0,724994627072704;0,329059348404586;680,044960194196;273,448318524211;0,7382;32,64;0,22;0;0;24,5;0
14096;8;58;24;43,771378;-0,0407761666666667;1;-3274,1828587175;4867155,16584125;0,727444129771984;0,334720503881856;682,342593726121;278,152738725823;0,7383;32,64;0,22;0;0;24,5;0
14106;8;58;25;43,7713276666667;-0,0407055;1;-3268,50857377124;4867149,56902994;0,729946754216548;0,340381659356301;684,690055455122;282,857158925086;0,7383;32,64;0,21;0;0;24,4;0
14116;8;58;26;43,7712773333333;-0,0406361666666667;1;-3262,94135080511;4867143,97221864;0,73240215933197;0,346042814831687;686,993225453388;287,561579125132;0,7384;32,64;0,21;0;0;24,4;0
14126;8;58;27;43,771227;-0,0405665;1;-3257,34736234394;4867138,37540733;0,734869369279679;0,351703970307073;689,307468384339;292,265999325178;0,7384;32,64;0,21;0;0;24,5;0
14136;8;58;28;43,7711766666667;-0,040497;1;-3251,76675663029;4867132,77859602;0,737330676811244;0,357365125782459;691,616174848947;296,970419525224;0,7385;32,64;0,21;0;0;24,4;0
14146;8;58;29;43,771127;-0,0404283333333333;1;-3246,25306465421;4867127,25591466;0,739762472262095;0,362951299066025;693,897198981845;301,612529523867;0,7386;32,64;0,21;0;0;24,4;0
14156;8;58;30;43,7710771666667;-0,0403588333333333;1;-3240,67245894055;4867121,71470082;0,74222377979366;0,368556217898252;696,205905446453;306,270217073448;0,7386;32,64;0,21;0;0;24,4;0
14166;8;58;31;43,7710275;-0,0402885;1;-3235,02493948933;4867116,19201946;0,744714599405939;0,374142391181818;698,542294242771;310,912327072091;0,7387;32,64;0,21;0;0;24,4;0
14176;8;58;32;43,7709783333333;-0,0402185;1;-3229,40418553313;4867110,72493557;0,747193614185932;0,379672327822225;700,867610106405;315,507704420269;0,7387;32,64;0,21;0;0;24,4;0
14186;8;58;33;43,7709295;-0,0401481666666667;1;-3223,7566660819;4867105,29491665;0,749684433798212;0,38516477336625;703,203998902723;320,071926667354;0,7388;32,64;0,21;0;0;24,4;0
14196;8;58;34;43,7708808333333;-0,0400783333333333;1;-3218,14929487322;4867099,88343022;0,752157546162063;0,390638473361614;705,523778300015;324,620571363501;0,7388;32,64;0,21;0;0;24,4;0
14206;8;58;35;43,7708328333333;-0,0400076666666667;1;-3212,47500992696;4867094,54607374;0,754660170606628;0,396037191167983;707,871240029017;329,106905860594;0,7389;32,64;0,21;0;0;24,4;0
14216;8;58;36;43,7707851666667;-0,0399373333333333;1;-3206,82749047574;4867089,24578224;0,757150990218907;0,401398417876087;710,207628825335;333,562085255029;0,7389;32,64;0,21;0;0;24,4;0
14226;8;58;37;43,7707373333333;-0,0398676666666667;1;-3201,23350201457;4867083,92695825;0,759618200166616;0,406778390132853;712,521871756285;338,032842200401;0,739;32,65;0,21;0;0;24,4;0
14236;8;58;38;43,7706843333333;-0,0398071666666667;1;-3196,37556466671;4867078,03362714;0,761760777226467;0,412739474374579;714,531609038426;342,986503205275;0,739;32,65;0,21;0;0;24,4;0
14246;8;58;39;43,7706256666667;-0,0397578333333333;1;-3192,41427140235;4867071,51019144;0,763507892404748;0,419337907247251;716,170403075654;348,469800922466;0,7391;32,64;0,21;0;0;24,4;0
14256;8;58;40;43,7705621666667;-0,0397236666666667;1;-3189,67080816182;4867064,4493136;0,764717887714031;0,426479961009445;717,305378675761;354,404847598849;0,7392;32,65;0,21;0;0;24,4;0
14266;8;58;41;43,7704966666667;-0,039711;1;-3188,6537193507;4867057,1660459;0,765166471340887;0,4338469613471;717,726150117752;360,52682487944;0,7392;32,64;0,21;0;0;24,4;0
14276;8;58;42;43,7704345;-0,0397313333333333;1;-3190,2864145475;4867050,25342796;0,76444637657146;0,440839050725652;717,05070122403;366,337251153017;0,7393;32,64;0,21;0;0;24,4;0
